sample ID	forward sequence count	reverse sequence count
YUN3428.2	1536	1536
BAQ4166.1.2	1383	1383
BAQ4166.3	1348	1348
YUN3856.3	1321	1321
YUN3533.3	1316	1316
BAQ3473.3	1304	1304
YUN3533.2	1266	1266
BAQ4166.2	1237	1237
BAQ3473.1	1168	1168
BAQ4697.3	1167	1167
YUN3428.3	1159	1159
YUN3259.3	1122	1122
YUN3856.1.1	1087	1087
BAQ4166.1.1	1069	1069
BAQ4166.1.3	1059	1059
YUN3428.1	1058	1058
YUN3856.1.2	1044	1044
YUN3259.2	1039	1039
BAQ3473.2	1010	1010
YUN3856.2	1003	1003
YUN3533.1.1	1000	1000
YUN3533.1.2	976	976
BAQ2462.1	950	950
BAQ2687.3	921	921
YUN2029.2	918	918
YUN1005.1.1	904	904
BAQ2687.1	883	883
BAQ4697.2	861	861
BAQ4697.1	852	852
BAQ2420.1.1	810	810
YUN3533.1.3	802	802
YUN3346.3	795	795
YUN1242.3	784	784
YUN1609.1	769	769
YUN3856.1.3	753	753
YUN3346.1	730	730
BAQ2420.1.2	720	720
BAQ2462.2	676	676
BAQ2687.2	662	662
BAQ2420.2	658	658
BAQ2420.1.3	656	656
BAQ2420.3	645	645
YUN3259.1.2	645	645
YUN1242.1	619	619
YUN3153.3	619	619
BAQ2838.1	614	614
BAQ2838.2	562	562
BAQ2462.3	537	537
YUN3153.2	468	468
YUN1005.3	453	453
BAQ2838.3	434	434
YUN3259.1.3	280	280
YUN3346.2	193	193
YUN3259.1.1	67	67
YUN1242.2	10	10
YUN2029.1	9	9
BAQ895.2	9	9
YUN1005.1.3	7	7
YUN3008.1.3	6	6
BAQ1370.1.3	6	6
YUN3153.1	4	4
BAQ1552.1.1	4	4
YUN3008.3	3	3
YUN1609.3	2	2
YUN3008.1.1	2	2
YUN2029.3	2	2
YUN1005.2	2	2
BAQ1552.2	1	1
YUN3184.2	1	1
YUN3008.1.2	1	1
YUN3008.2	1	1
BAQ1370.1.2	1	1
BAQ895.3	0	0
YUN3184.1	0	0
BAQ1370.3	0	0
