sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BAQ1370.1.2	1	0	0	0	0	0	0	0
BAQ1370.1.3	6	1	16.67	1	0	0	0	0
BAQ1370.3	0	0	0	0	0	0	0	0
BAQ1552.1.1	4	1	25	1	1	25	1	25
BAQ1552.2	1	0	0	0	0	0	0	0
BAQ2420.1.1	810	701	86.54	462	198	24.44	198	24.44
BAQ2420.1.2	720	626	86.94	455	152	21.11	152	21.11
BAQ2420.1.3	656	603	91.92	447	221	33.69	221	33.69
BAQ2420.2	658	579	87.99	497	248	37.69	248	37.69
BAQ2420.3	645	550	85.27	466	146	22.64	146	22.64
BAQ2462.1	950	791	83.26	689	368	38.74	368	38.74
BAQ2462.2	676	566	83.73	480	278	41.12	278	41.12
BAQ2462.3	537	468	87.15	355	146	27.19	146	27.19
BAQ2687.1	883	818	92.64	601	220	24.92	220	24.92
BAQ2687.2	662	530	80.06	467	287	43.35	287	43.35
BAQ2687.3	921	759	82.41	628	142	15.42	142	15.42
BAQ2838.1	614	535	87.13	389	87	14.17	87	14.17
BAQ2838.2	562	479	85.23	307	108	19.22	108	19.22
BAQ2838.3	434	352	81.11	260	91	20.97	91	20.97
BAQ3473.1	1168	1025	87.76	801	273	23.37	273	23.37
BAQ3473.2	1010	911	90.2	657	167	16.53	167	16.53
BAQ3473.3	1304	1168	89.57	961	429	32.9	429	32.9
BAQ4166.1.1	1069	925	86.53	678	172	16.09	172	16.09
BAQ4166.1.2	1383	1191	86.12	986	392	28.34	392	28.34
BAQ4166.1.3	1059	925	87.35	722	275	25.97	275	25.97
BAQ4166.2	1237	1096	88.6	895	300	24.25	300	24.25
BAQ4166.3	1348	1164	86.35	879	336	24.93	336	24.93
BAQ4697.1	852	767	90.02	666	426	50	426	50
BAQ4697.2	861	778	90.36	677	409	47.5	409	47.5
BAQ4697.3	1167	1021	87.49	901	600	51.41	600	51.41
BAQ895.2	9	5	55.56	2	0	0	0	0
BAQ895.3	0	0	0	0	0	0	0	0
YUN1005.1.1	904	784	86.73	739	586	64.82	586	64.82
YUN1005.1.3	7	0	0	0	0	0	0	0
YUN1005.2	2	1	50	1	0	0	0	0
YUN1005.3	453	408	90.07	387	283	62.47	283	62.47
YUN1242.1	619	547	88.37	533	451	72.86	451	72.86
YUN1242.2	10	8	80	1	1	10	1	10
YUN1242.3	784	698	89.03	650	526	67.09	500	63.78
YUN1609.1	769	646	84.01	596	428	55.66	428	55.66
YUN1609.3	2	0	0	0	0	0	0	0
YUN2029.1	9	7	77.78	1	0	0	0	0
YUN2029.2	918	832	90.63	762	562	61.22	562	61.22
YUN2029.3	2	0	0	0	0	0	0	0
YUN3008.1.1	2	1	50	1	0	0	0	0
YUN3008.1.2	1	0	0	0	0	0	0	0
YUN3008.1.3	6	1	16.67	1	0	0	0	0
YUN3008.2	1	1	100	1	0	0	0	0
YUN3008.3	3	1	33.33	1	0	0	0	0
YUN3153.1	4	1	25	1	0	0	0	0
YUN3153.2	468	406	86.75	345	269	57.48	269	57.48
YUN3153.3	619	542	87.56	484	324	52.34	324	52.34
YUN3184.1	0	0	0	0	0	0	0	0
YUN3184.2	1	0	0	0	0	0	0	0
YUN3259.1.1	67	57	85.07	3	0	0	0	0
YUN3259.1.2	645	596	92.4	468	290	44.96	290	44.96
YUN3259.1.3	280	252	90	180	17	6.07	17	6.07
YUN3259.2	1039	872	83.93	647	159	15.3	159	15.3
YUN3259.3	1122	971	86.54	786	403	35.92	403	35.92
YUN3346.1	730	655	89.73	554	324	44.38	324	44.38
YUN3346.2	193	177	91.71	114	28	14.51	28	14.51
YUN3346.3	795	665	83.65	521	270	33.96	270	33.96
YUN3428.1	1058	908	85.82	707	291	27.5	291	27.5
YUN3428.2	1536	1346	87.63	1058	473	30.79	473	30.79
YUN3428.3	1159	1023	88.27	751	234	20.19	234	20.19
YUN3533.1.1	1000	895	89.5	707	267	26.7	267	26.7
YUN3533.1.2	976	881	90.27	636	174	17.83	174	17.83
YUN3533.1.3	802	719	89.65	552	186	23.19	186	23.19
YUN3533.2	1266	1161	91.71	967	551	43.52	551	43.52
YUN3533.3	1316	1193	90.65	912	368	27.96	368	27.96
YUN3856.1.1	1087	932	85.74	673	273	25.11	273	25.11
YUN3856.1.2	1044	943	90.33	762	389	37.26	389	37.26
YUN3856.1.3	753	673	89.38	556	320	42.5	320	42.5
YUN3856.2	1003	876	87.34	680	201	20.04	201	20.04
YUN3856.3	1321	1175	88.95	926	399	30.2	399	30.2
