sample ID	forward sequence count
YUN3428.2	1511
YUN3533.3	1372
BAQ4166.1.2	1363
BAQ3473.3	1350
BAQ4166.2	1327
YUN3856.3	1317
BAQ4166.3	1316
YUN3533.2	1228
BAQ4697.3	1166
BAQ3473.1	1165
YUN3428.3	1143
YUN3259.3	1078
BAQ4166.1.1	1077
BAQ4166.1.3	1074
YUN3428.1	1073
YUN3856.2	1069
YUN3259.2	1068
YUN3856.1.1	1067
BAQ3473.2	1045
YUN3533.1.1	1042
BAQ2462.1	996
YUN3856.1.2	994
YUN2029.2	993
YUN3533.1.2	955
BAQ2687.1	930
BAQ2687.3	921
YUN1005.1.1	907
BAQ4697.1	907
YUN3533.1.3	862
BAQ4697.2	847
YUN1242.3	836
YUN3346.3	802
BAQ2420.1.1	789
YUN3856.1.3	769
YUN1609.1	765
YUN3259.1.2	758
YUN3346.1	732
BAQ2420.1.3	706
BAQ2687.2	699
BAQ2420.1.2	696
BAQ2420.3	695
BAQ2462.2	679
BAQ2420.2	671
BAQ2838.1	637
YUN3153.3	629
YUN1242.1	581
YUN3153.2	533
BAQ2838.2	519
BAQ2462.3	511
YUN1005.3	425
BAQ2838.3	401
YUN3259.1.3	305
YUN3346.2	182
YUN3259.1.1	73
YUN1242.2	10
BAQ1552.1.1	6
YUN3008.1.3	6
BAQ895.2	6
BAQ1370.1.3	6
YUN3008.1.1	5
YUN3008.3	4
YUN2029.1	4
YUN3184.2	3
YUN1005.2	3
YUN1005.1.3	2
YUN3184.1	2
BAQ1552.2	1
YUN1609.3	1
YUN2029.3	1
YUN3008.1.2	1
YUN3008.2	1
YUN3153.1	1
BAQ1370.1.2	1
BAQ895.3	0
BAQ1370.3	0
