id	Elevation	ExtractConcen	AmpliconConcentration	Depth	pH	TOC	EC	AverageSoilRelativeHumidity	RelativeHumiditySoilHigh	RelativeHumiditySoilLow	PercentRelativeHumiditySoil_100	AverageSoilTemperature	TemperatureSoilHigh	TemperatureSoilLow	PercentCover	shannon_entropy
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BAQ2420.1.1	2420	0.35	7.4	1	9.33			82.54	100	41.135	46.77	22.45	28.297	13.294	0	4.43604725698661
BAQ2420.1.2	2420	0.108	11.42	2	9.36	166	0.075	82.54	100	41.135	46.77	22.45	28.297	13.294	0	4.79323386160025
BAQ2420.2	2420	0.089	10.06	2	9.36	337	0.075	82.54	100	41.135	46.77	22.45	28.297	13.294	0	5.15319684176536
BAQ2420.3	2420	0.083	15.92	2	9.36	574	0.075	82.54	100	41.135	46.77	22.45	28.297	13.294	0	4.86081038986792
BAQ2420.1.3	2420	0.132	10	3	8.9			82.54	100	41.135	46.77	22.45	28.297	13.294	0	4.45116968136571
BAQ2462.1	2462	1.166	15.29	2	8.35	173	0.506	69.08	98.396	32.558	0.21	21.83	29.024	12.971	0	4.84960255303644
BAQ2462.2	2462	0.049	10.39	2	8.35	331	0.506	69.08	98.396	32.558	0.21	21.83	29.024	12.971	0	4.30707210479667
BAQ2687.1	2687	1.223	1.24	2	8.35	554	0.131	73.21	100	20.87	43.48	18.2	25	10.67	0.1	4.58493756263187
BAQ2687.2	2687	0.251	17.53	2	8.35	350	0.131	73.21	100	20.87	43.48	18.2	25	10.67	0.1	4.40781682193487
BAQ2687.3	2687	1.176	12.1	2	8.35	400	0.131	73.21	100	20.87	43.48	18.2	25	10.67	0.1	5.06783365090666
BAQ3473.1	3473	16.374	1.29	2	7.93	3675	0.42	82.05	100	42.09	35.37	13.46	20.69	5.12	1.2	4.67925703570177
BAQ3473.2	3473	5.17	11.05	2	7.93	838	0.42	82.05	100	42.09	35.37	13.46	20.69	5.12	1.2	4.95630068275482
BAQ3473.3	3473	0.91	4.41	2	7.93	16449	0.42	82.05	100	42.09	35.37	13.46	20.69	5.12	1.2	5.36140121432896
BAQ4166.1.1	4166	33.492	3.16	1	5.64			100	100	100	100	9.41	17.54	1.42	7.1	4.66756143470711
BAQ4166.1.2	4166	16.086	18.25	2	7.22	2085	0.084	100	100	100	100	9.41	17.54	1.42	7.1	5.13699646325415
BAQ4166.2	4166	2.958	0.12	2	7.22	3692	0.084	100	100	100	100	9.41	17.54	1.42	7.1	5.1539047398641
BAQ4166.3	4166	28.92	0.26	2	7.22	2271	0.084	100	100	100	100	9.41	17.54	1.42	7.1	5.0101455319278
BAQ4166.1.3	4166	14.532	0.55	3	7.41			100	100	100	100	9.41	17.54	1.42	7.1	5.14476512705623
BAQ4697.1	4697	10.044	1.88	2	7.44	424	0.055								0.1	4.4226665680414
BAQ4697.2	4697	5.864	1.22	2	7.44	531	0.055								0.1	4.42310352968665
BAQ4697.3	4697	8.264	1.39	2	7.44	631	0.055								0.1	4.69385861559027
YUN1005.1.1	1005	0.103	13.17	1	7.54			20.7	31.011	16.343	0	22.59	26.26	16.51	0	3.95383182956375
YUN1242.1	1242	0.228	19.2	2	9	226	1.845	20.9	36.46	16.96	0	23.61	27.62	18.33	0	3.10433313587425
YUN1242.3	1242	0.05	15.61	2	9	452	1.845	20.9	36.46	16.96	0	23.61	27.62	18.33	0	4.04779984481035
YUN1609.1	1609	0.031	6.42	2	8	361	0.427	17.18	50.4	12.53	0	21.47	25.39	16.1	0	2.9292579733884
YUN2029.2	2029	0.232	16.71	2	7.89	241	0.067	28.79	52.55	21.76	0	17.85	24.16	10.21	0	4.27626771377755
YUN3153.3	3153	0.22	18.41	2	7.6	391	2.26	59.69	93.15	32.12	0	12.5	19.62	3.48	0	4.02645989441621
YUN3259.1.2	3259	1.543	16.92	2	8.1	419	0.133	93.57	100	69.04	64.69	15.28	23.65	6.31	2.4	4.41424008427601
YUN3259.2	3259	1.935	12.11	2	8.1	342	0.133	93.57	100	69.04	64.69	15.28	23.65	6.31	2.4	5.12693840243692
YUN3259.3	3259	3.53	16.74	2	8.1	539	0.133	93.57	100	69.04	64.69	15.28	23.65	6.31	2.4	4.56544902322484
YUN3346.1	3346	0.314	16.88	2	7.1	429	0.044	87.32	100	57.8	33.13	15.89	23.96	6.89	0.01	4.51736666472418
YUN3346.3	3346	1.218	17.14	2	7.1	387	0.044	87.32	100	57.8	33.13	15.89	23.96	6.89	0.01	3.96478309724302
YUN3428.1	3428	1.764	15.32	2	7.2	623	0.023	99.99	100	99.91	99.42	13.61	21.09	4.13	8.8	4.75445939278337
YUN3428.2	3428	1.988	6.61	2	7.2	621	0.023	99.99	100	99.91	99.42	13.61	21.09	4.13	8.8	5.26281978101634
YUN3428.3	3428	2.782	15.46	2	7.2	658	0.023	99.99	100	99.91	99.42	13.61	21.09	4.13	8.8	5.23762117019276
YUN3533.1.1	3533	3.352	14.29	1	7.1			100	100	99.93	99.94	11.41	19.21	3.47	8.6	4.25842281630445
YUN3533.1.2	3533	3.21	14.32	2	8	521	0.024	100	100	99.93	99.94	11.41	19.21	3.47	8.6	4.71720166134367
YUN3533.2	3533	9.236	14.33	2	8	773	0.024	100	100	99.93	99.94	11.41	19.21	3.47	8.6	3.55612078579566
YUN3533.3	3533	3.642	17.43	2	8	664	0.024	100	100	99.93	99.94	11.41	19.21	3.47	8.6	5.32511782347258
YUN3533.1.3	3533	1.987	7.55	3	7.8			100	100	99.93	99.94	11.41	19.21	3.47	8.6	4.7040680417092
YUN3856.1.1	3856	6.444	12.93	1	6.98			99.44	100	73.75	93.7	9.51	17.45	0.45	3.1	4.7369603814884
YUN3856.1.2	3856	6.23	16.35	2	7.43	713	0.029	99.44	100	73.75	93.7	9.51	17.45	0.45	3.1	4.65319450730028
YUN3856.2	3856	4.178	17.12	2	7.43	404	0.029	99.44	100	73.75	93.7	9.51	17.45	0.45	3.1	5.5327552763668
YUN3856.3	3856	6.695	15.86	2	7.43	988	0.029	99.44	100	73.75	93.7	9.51	17.45	0.45	3.1	5.58704042708028
YUN3856.1.3	3856	3.134	18.17	3	7.54			99.44	100	73.75	93.7	9.51	17.45	0.45	3.1	5.30570914711406
