Group 1,Group 2,H,p-value,q-value
BAQ2420 (n=5),BAQ2462 (n=2),3.75,0.052807511416113395,0.31713969684528687
BAQ2420 (n=5),BAQ2687 (n=3),0.19999999999999574,0.6547208460185803,0.7274676066873114
BAQ2420 (n=5),BAQ3473 (n=3),5.0,0.025347318677468325,0.31713969684528687
BAQ2420 (n=5),BAQ4166 (n=5),4.810909090909092,0.02828012256827699,0.31713969684528687
BAQ2420 (n=5),BAQ4697 (n=3),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ2420 (n=5),YUN1005 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ2420 (n=5),YUN1242 (n=2),3.75,0.052807511416113395,0.31713969684528687
BAQ2420 (n=5),YUN1609 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ2420 (n=5),YUN2029 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ2420 (n=5),YUN3153 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ2420 (n=5),YUN3259 (n=3),0.19999999999999574,0.6547208460185803,0.7274676066873114
BAQ2420 (n=5),YUN3346 (n=2),0.14999999999999858,0.69853535830334,0.7690297522605578
BAQ2420 (n=5),YUN3428 (n=3),0.55555555555555,0.4560565402502583,0.5884600519358172
BAQ2420 (n=5),YUN3533 (n=5),3.152727272727269,0.07580017458236198,0.31713969684528687
BAQ2420 (n=5),YUN3856 (n=5),6.818181818181813,0.009023438818080334,0.31713969684528687
BAQ2462 (n=2),BAQ2687 (n=3),0.3333333333333357,0.5637028616507718,0.6697459742385408
BAQ2462 (n=2),BAQ3473 (n=3),3.0,0.08326451666355042,0.31713969684528687
BAQ2462 (n=2),BAQ4166 (n=5),3.75,0.052807511416113395,0.31713969684528687
BAQ2462 (n=2),BAQ4697 (n=3),3.0,0.08326451666355042,0.31713969684528687
BAQ2462 (n=2),YUN1005 (n=1),1.5,0.22067136191984324,0.3530741790717492
BAQ2462 (n=2),YUN1242 (n=2),2.3999999999999986,0.12133525035848367,0.31713969684528687
BAQ2462 (n=2),YUN1609 (n=1),1.5,0.22067136191984324,0.3530741790717492
BAQ2462 (n=2),YUN2029 (n=1),1.5,0.22067136191984324,0.3530741790717492
BAQ2462 (n=2),YUN3153 (n=1),1.5,0.22067136191984324,0.3530741790717492
BAQ2462 (n=2),YUN3259 (n=3),3.0,0.08326451666355042,0.31713969684528687
BAQ2462 (n=2),YUN3346 (n=2),0.0,1.0,1.0
BAQ2462 (n=2),YUN3428 (n=3),3.0,0.08326451666355042,0.31713969684528687
BAQ2462 (n=2),YUN3533 (n=5),3.75,0.052807511416113395,0.31713969684528687
BAQ2462 (n=2),YUN3856 (n=5),3.75,0.052807511416113395,0.31713969684528687
BAQ2687 (n=3),BAQ3473 (n=3),1.1904761904761898,0.27523352407483126,0.4128502861122469
BAQ2687 (n=3),BAQ4166 (n=5),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ2687 (n=3),BAQ4697 (n=3),0.42857142857142705,0.5126907602619241,0.627784604402356
BAQ2687 (n=3),YUN1005 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ2687 (n=3),YUN1242 (n=2),3.0,0.08326451666355042,0.31713969684528687
BAQ2687 (n=3),YUN1609 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ2687 (n=3),YUN2029 (n=1),0.1999999999999993,0.6547208460185774,0.7274676066873114
BAQ2687 (n=3),YUN3153 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ2687 (n=3),YUN3259 (n=3),0.04761904761904745,0.8272593465627116,0.9024647417047763
BAQ2687 (n=3),YUN3346 (n=2),0.3333333333333357,0.5637028616507718,0.6697459742385408
BAQ2687 (n=3),YUN3428 (n=3),1.1904761904761898,0.27523352407483126,0.4128502861122469
BAQ2687 (n=3),YUN3533 (n=5),0.5555555555555571,0.4560565402502553,0.5884600519358172
BAQ2687 (n=3),YUN3856 (n=5),3.755555555555553,0.052632302565740766,0.31713969684528687
BAQ3473 (n=3),BAQ4166 (n=5),0.02222222222221859,0.8814974521910232,0.936103489052414
BAQ3473 (n=3),BAQ4697 (n=3),3.857142857142854,0.049534613435626915,0.31713969684528687
BAQ3473 (n=3),YUN1005 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ3473 (n=3),YUN1242 (n=2),3.0,0.08326451666355042,0.31713969684528687
BAQ3473 (n=3),YUN1609 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ3473 (n=3),YUN2029 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ3473 (n=3),YUN3153 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ3473 (n=3),YUN3259 (n=3),0.42857142857142705,0.5126907602619241,0.627784604402356
