id	ExtractGroupNo	TransectName	SiteName	Vegetation	faith_pd
#q2:types	categorical	categorical	categorical	categorical	numeric
BAQ2420.1.1	H	Baquedano	BAQ2420	no	6.70135311581035
BAQ2420.1.2	H	Baquedano	BAQ2420	no	7.39150896481355
BAQ2420.2	A	Baquedano	BAQ2420	no	6.96540623962388
BAQ2420.3	C	Baquedano	BAQ2420	no	7.97862244089258
BAQ2420.1.3	H	Baquedano	BAQ2420	no	7.05748075928946
BAQ2462.1	H	Baquedano	BAQ2462	no	5.780603504402
BAQ2462.2	H	Baquedano	BAQ2462	no	5.69691162232015
BAQ2687.1	A	Baquedano	BAQ2687	yes	7.40913649200749
BAQ2687.2	C	Baquedano	BAQ2687	yes	5.6405193380843
BAQ2687.3	E	Baquedano	BAQ2687	yes	8.96950213364917
BAQ3473.1	C	Baquedano	BAQ3473	yes	8.07176282082863
BAQ3473.2	B	Baquedano	BAQ3473	yes	9.71130709463741
BAQ3473.3	C	Baquedano	BAQ3473	yes	8.77101799115902
BAQ4166.1.1	C	Baquedano	BAQ4166	yes	7.25083826218288
BAQ4166.1.2	B	Baquedano	BAQ4166	yes	9.55436803297234
BAQ4166.2	C	Baquedano	BAQ4166	yes	11.5060869125395
BAQ4166.3	C	Baquedano	BAQ4166	yes	9.45907761115547
BAQ4166.1.3	C	Baquedano	BAQ4166	yes	8.33072691618715
BAQ4697.1	C	Baquedano	BAQ4697	yes	5.97979258596683
BAQ4697.2	B	Baquedano	BAQ4697	yes	6.34858230454531
BAQ4697.3	C	Baquedano	BAQ4697	yes	7.22761840247509
YUN1005.1.1	I	Yungay	YUN1005	no	5.28934419730428
YUN1242.1	K	Yungay	YUN1242	no	2.62945915417078
YUN1242.3	K	Yungay	YUN1242	no	5.44307944788013
YUN1609.1	B	Yungay	YUN1609	no	3.44715999355958
YUN2029.2	B	Yungay	YUN2029	no	6.54093946774867
YUN3153.3	B	Yungay	YUN3153	no	4.58064311790541
YUN3259.1.2	B	Yungay	YUN3259	yes	6.05065407574895
YUN3259.2	D	Yungay	YUN3259	yes	10.4896369811029
YUN3259.3	D	Yungay	YUN3259	yes	6.82201583138665
YUN3346.1	D	Yungay	YUN3346	yes	7.73708084065922
YUN3346.3	D	Yungay	YUN3346	yes	5.08695260665852
YUN3428.1	D	Yungay	YUN3428	yes	6.34262636685176
YUN3428.2	D	Yungay	YUN3428	yes	9.90058478145736
YUN3428.3	D	Yungay	YUN3428	yes	11.0298909474483
YUN3533.1.1	D	Yungay	YUN3533	yes	7.87892682089283
YUN3533.1.2	D	Yungay	YUN3533	yes	7.38852403786692
YUN3533.2	D	Yungay	YUN3533	yes	8.20697811082461
YUN3533.3	D	Yungay	YUN3533	yes	10.8710960490727
YUN3533.1.3	D	Yungay	YUN3533	yes	7.97121595011307
YUN3856.1.1	G	Yungay	YUN3856	yes	8.79956320232253
YUN3856.1.2	G	Yungay	YUN3856	yes	9.567042128713
YUN3856.2	H	Yungay	YUN3856	yes	10.5203329440023
YUN3856.3	H	Yungay	YUN3856	yes	10.8658386271973
YUN3856.1.3	G	Yungay	YUN3856	yes	10.2193920961831
