sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-55_iter-1,depth-55_iter-2,depth-55_iter-3,depth-55_iter-4,depth-55_iter-5,depth-55_iter-6,depth-55_iter-7,depth-55_iter-8,depth-55_iter-9,depth-55_iter-10,depth-109_iter-1,depth-109_iter-2,depth-109_iter-3,depth-109_iter-4,depth-109_iter-5,depth-109_iter-6,depth-109_iter-7,depth-109_iter-8,depth-109_iter-9,depth-109_iter-10,depth-164_iter-1,depth-164_iter-2,depth-164_iter-3,depth-164_iter-4,depth-164_iter-5,depth-164_iter-6,depth-164_iter-7,depth-164_iter-8,depth-164_iter-9,depth-164_iter-10,depth-218_iter-1,depth-218_iter-2,depth-218_iter-3,depth-218_iter-4,depth-218_iter-5,depth-218_iter-6,depth-218_iter-7,depth-218_iter-8,depth-218_iter-9,depth-218_iter-10,depth-272_iter-1,depth-272_iter-2,depth-272_iter-3,depth-272_iter-4,depth-272_iter-5,depth-272_iter-6,depth-272_iter-7,depth-272_iter-8,depth-272_iter-9,depth-272_iter-10,depth-327_iter-1,depth-327_iter-2,depth-327_iter-3,depth-327_iter-4,depth-327_iter-5,depth-327_iter-6,depth-327_iter-7,depth-327_iter-8,depth-327_iter-9,depth-327_iter-10,depth-381_iter-1,depth-381_iter-2,depth-381_iter-3,depth-381_iter-4,depth-381_iter-5,depth-381_iter-6,depth-381_iter-7,depth-381_iter-8,depth-381_iter-9,depth-381_iter-10,depth-435_iter-1,depth-435_iter-2,depth-435_iter-3,depth-435_iter-4,depth-435_iter-5,depth-435_iter-6,depth-435_iter-7,depth-435_iter-8,depth-435_iter-9,depth-435_iter-10,depth-490_iter-1,depth-490_iter-2,depth-490_iter-3,depth-490_iter-4,depth-490_iter-5,depth-490_iter-6,depth-490_iter-7,depth-490_iter-8,depth-490_iter-9,depth-490_iter-10
BAQ2420.1.1,1,1,1,1,1,1,1,1,1,1,20,21,21,22,23,22,21,21,20,20,26,25,24,24,26,25,24,27,26,25,25,27,28,26,25,27,25,27,27,27,27,28,27,28,28,26,27,27,27,27,27,28,27,28,27,27,28,27,28,27,28,28,28,28,27,28,27,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
BAQ2420.1.2,1,1,1,1,1,1,1,1,1,1,24,23,28,29,24,24,26,27,24,27,33,28,34,32,29,32,33,33,30,32,36,36,36,33,36,35,34,32,36,36,38,35,38,37,37,37,36,36,38,36,38,37,38,37,37,36,38,37,38,38,37,38,37,38,38,37,38,38,37,38,37,38,38,38,38,37,38,38,37,38,38,38,38,38,38,38,37,38,38,38,38,38,38,38,38,38,38,38,38,38
BAQ2420.1.3,1,1,1,1,1,1,1,1,1,1,20,19,21,21,23,20,22,23,18,22,24,25,25,27,28,30,31,27,25,25,31,32,29,27,31,28,30,32,28,31,31,32,33,32,31,33,30,31,31,33,32,33,34,30,32,32,33,33,31,34,34,34,33,33,33,33,34,33,34,33,33,34,34,33,33,34,34,34,34,34,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34
BAQ2420.2,1,1,1,1,1,1,1,1,1,1,28,28,30,26,31,27,28,29,28,30,39,36,35,36,36,37,37,39,37,34,42,40,42,41,40,38,39,39,41,40,39,40,42,41,42,40,42,41,41,42,43,41,43,43,42,43,43,42,43,39,43,42,43,42,42,43,43,43,43,42,43,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
BAQ2420.3,1,1,1,1,1,1,1,1,1,1,27,30,26,24,25,28,26,24,24,25,32,31,37,31,31,36,28,33,34,35,37,36,37,37,38,35,34,34,34,38,38,39,38,41,36,38,39,41,40,39,41,40,40,38,40,39,39,40,39,39,40,41,41,41,41,40,41,41,40,40,41,41,41,41,41,40,41,41,41,41,41,39,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
BAQ2462.1,1,1,1,1,1,1,1,1,1,1,26,23,26,27,22,23,24,22,25,28,34,32,32,33,29,31,32,31,31,33,35,36,36,33,35,35,34,36,33,34,37,37,36,36,37,34,36,37,37,37,36,36,37,35,37,37,37,37,36,36,37,37,37,37,37,37,37,37,37,37,37,36,36,37,37,37,37,37,37,37,37,37,37,37,37,36,37,37,36,37,37,37,37,37,37,37,37,37,37,37
BAQ2462.2,1,1,1,1,1,1,1,1,1,1,19,19,17,18,20,22,21,23,23,19,26,24,20,23,24,26,23,24,23,24,27,28,28,27,29,27,28,28,27,27,27,26,27,28,28,28,29,30,28,30,29,28,29,28,28,30,30,27,29,29,30,29,30,30,30,29,30,30,30,29,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
BAQ2687.1,1,1,1,1,1,1,1,1,1,1,23,24,18,21,22,22,20,23,20,20,29,27,29,30,26,28,31,29,31,28,32,30,28,31,32,31,32,30,28,31,33,32,33,33,31,30,31,33,29,31,32,32,33,34,32,31,33,32,32,33,34,34,34,32,34,34,34,34,34,34,34,34,34,32,34,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
BAQ2687.2,1,1,1,1,1,1,1,1,1,1,25,22,24,25,22,22,18,18,22,20,24,26,24,22,26,25,25,25,26,25,29,27,26,29,28,28,28,30,27,26,29,29,29,28,29,29,29,28,29,30,29,29,28,29,29,29,30,30,29,29,30,30,30,30,30,30,30,29,30,30,30,28,29,30,30,30,30,30,30,30,30,30,30,30,30,29,30,29,30,30,30,30,30,30,30,30,30,30,30,30
BAQ2687.3,1,1,1,1,1,1,1,1,1,1,28,26,26,26,26,30,27,22,28,28,37,37,34,33,38,36,34,34,35,34,38,37,40,39,41,37,37,39,41,39,44,42,41,45,45,42,42,40,42,39,43,44,40,43,44,43,42,44,44,42,42,45,42,43,44,46,43,45,44,45,45,45,46,46,46,45,45,44,46,46,46,45,44,44,46,46,46,46,45,44,46,46,46,46,46,46,46,46,46,46
